date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:05:41	7941/7941	---M--	200	added ('OK')	image/jpeg	etag:%22331a335a78da38bdd2ae086feaf8032e%22	http://cdn.shopify.com/s/files/1/0271/9799/products/9c_compact.jpeg?v=1380638361	D:/Dropbox/themeforest/envy/cdn.shopify.com/s/files/1/0271/9799/products/9c_compactf6d0.jpg	(from https://envy-stockholm.myshopify.com/products/gennarino-bear-iphone-5-cover)
00:05:45	92988/92988	---M--	200	added ('OK')	image/jpeg	etag:%228ccf0f4badeae02d09e012d12f51d008%22	http://cdn.shopify.com/s/files/1/0271/9799/products/9b_1024x1024.jpeg?v=1380638361	D:/Dropbox/themeforest/envy/cdn.shopify.com/s/files/1/0271/9799/products/9b_1024x1024f6d0.jpg	(from https://envy-stockholm.myshopify.com/products/gennarino-bear-iphone-5-cover)
00:05:46	34239/34239	---M--	200	added ('OK')	image/jpeg	etag:%2241b1ab19cfd09225fb5c47ecfbb236f4%22	http://cdn.shopify.com/s/files/1/0271/9799/products/9a_grande.jpeg?v=1380638361	D:/Dropbox/themeforest/envy/cdn.shopify.com/s/files/1/0271/9799/products/9a_grandef6d0.jpg	(from https://envy-stockholm.myshopify.com/products/gennarino-bear-iphone-5-cover)
00:05:47	146876/146876	---M--	200	added ('OK')	image/jpeg	etag:%2241b1ab19cfd09225fb5c47ecfbb236f4%22	http://cdn.shopify.com/s/files/1/0271/9799/products/9a.jpeg?v=1380638361	D:/Dropbox/themeforest/envy/cdn.shopify.com/s/files/1/0271/9799/products/9af6d0.jpg	(from https://envy-stockholm.myshopify.com/products/gennarino-bear-iphone-5-cover)
00:05:48	621/621	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2006%20Oct%202015%2016:05:47%20GMT	http://pinterest.com/pin/create/button/?url=http://envy-stockholm.myshopify.com/products/gennarino-bear-iphone-5-cover&media=//cdn.shopify.com/s/files/1/0271/9799/products/9a_1024x1024.jpeg?v=1380638361&description=Gennarino%20bear%20iPhone%205%20cover	D:/Dropbox/themeforest/envy/pinterest.com/pin/create/button/indexcb8e.html	(from https://envy-stockholm.myshopify.com/products/gennarino-bear-iphone-5-cover)
00:05:49	28758/28758	---M--	200	added ('OK')	image/jpeg	etag:%228ccf0f4badeae02d09e012d12f51d008%22	http://cdn.shopify.com/s/files/1/0271/9799/products/9b_grande.jpeg?v=1380638361	D:/Dropbox/themeforest/envy/cdn.shopify.com/s/files/1/0271/9799/products/9b_grandef6d0.jpg	(from https://envy-stockholm.myshopify.com/products/gennarino-bear-iphone-5-cover)
00:05:50	38777/38777	---MCZ	200	added ('OK')	text/html	etag:cacheable:7b2f89510e8c1c20c40cc985631919b8	https://envy-stockholm.myshopify.com/products/msgm-stripe-geometric-tunic-dress	D:/Dropbox/themeforest/envy/envy-stockholm.myshopify.com/products/msgm-stripe-geometric-tunic-dress.html	(from https://envy-stockholm.myshopify.com/collections/all?page=3)
00:05:54	136750/136750	---M--	200	added ('OK')	image/jpeg	etag:%22331a335a78da38bdd2ae086feaf8032e%22	http://cdn.shopify.com/s/files/1/0271/9799/products/9c_1024x1024.jpeg?v=1380638361	D:/Dropbox/themeforest/envy/cdn.shopify.com/s/files/1/0271/9799/products/9c_1024x1024f6d0.jpg	(from https://envy-stockholm.myshopify.com/products/gennarino-bear-iphone-5-cover)
00:05:54	58810/58810	---M--	200	added ('OK')	image/jpeg	etag:%22331a335a78da38bdd2ae086feaf8032e%22	http://cdn.shopify.com/s/files/1/0271/9799/products/9c_grande.jpeg?v=1380638361	D:/Dropbox/themeforest/envy/cdn.shopify.com/s/files/1/0271/9799/products/9c_grandef6d0.jpg	(from https://envy-stockholm.myshopify.com/products/gennarino-bear-iphone-5-cover)
00:05:55	61464/61464	---M--	200	added ('OK')	image/jpeg	etag:%22875bdb38e96e80e7e0e5605cd0add3cf%22	http://cdn.shopify.com/s/files/1/0271/9799/products/image5a_large.jpeg?v=1380638481'	D:/Dropbox/themeforest/envy/cdn.shopify.com/s/files/1/0271/9799/products/image5a_large8c9f.jpg	(from https://envy-stockholm.myshopify.com/collections/all?page=3)
